Cubies N,Colors number,Color 1,Pos Color 1 x,Pos Color 1 y,Identifier,Color 2,Pos Color 2 x,Pos Color 2 y,Identifier,Color 3,Pos Color 3 x,Pos Color 3 y,Identifier
1,3,grey,0,0,101,grey,4,0,102,grey,3,2,103
2,2,grey,0,1,201,grey,3,1,202,grey,-1,-1,None
3,3,grey,0,2,301,grey,2,2,302,grey,3,0,303
4,2,grey,0,3,401,grey,4,1,402,grey,-1,-1,None
5,1,yellow,0,4,501,grey,-1,-1,None,grey,-1,-1,None
6,2,grey,0,5,601,grey,2,1,602,grey,-1,-1,None
7,3,grey,0,6,701,grey,4,2,702,grey,1,0,703
8,2,grey,0,7,801,grey,1,1,802,grey,-1,-1,None
9,3,grey,0,8,901,grey,1,2,902,grey,2,0,903
10,2,grey,4,3,1001,grey,3,5,1002,grey,-1,-1,None
11,1,blue,4,4,1101,grey,-1,-1,None,grey,-1,-1,None
12,2,grey,4,5,1201,grey,1,3,1202,grey,-1,-1,None
13,3,grey,4,6,1301,grey,3,8,1302,grey,5,6,1303
14,2,grey,4,7,1401,grey,5,3,1402,grey,-1,-1,None
15,3,grey,4,8,1501,grey,1,6,1502,grey,5,0,1503
16,1,red,1,4,1601,grey,-1,-1,None,grey,-1,-1,None
17,2,grey,1,5,1701,grey,2,3,1702,grey,-1,-1,None
18,2,grey,1,7,1801,grey,5,1,1802,grey,-1,-1,None
19,3,grey,1,8,1901,grey,2,6,1902,grey,5,2,1903
20,1,green,2,4,2001,grey,-1,-1,None,grey,-1,-1,None
21,2,grey,2,5,2101,grey,3,3,2102,grey,-1,-1,None
22,2,grey,2,7,2201,grey,5,5,2202,grey,-1,-1,None
23,3,grey,2,8,2301,grey,3,6,2302,grey,5,8,2303
24,1,orange,3,4,2401,grey,-1,-1,None,grey,-1,-1,None
25,2,grey,3,7,2501,grey,5,7,2502,grey,-1,-1,None
26,1,white,5,4,2601,grey,-1,-1,None,grey,-1,-1,None
